%Time(ms),Error2,Error1,FirstTouch(m)
22115,12044.5459,67883.51563,0
22116,12782.84766,76367.96094,0
22117,13730.72949,85392.22656,0
22118,14659.16504,95197.82031,0
22119,15553.16895,105809.5234,0
22120,16398.28906,117248.8594,0
22121,17590.66797,127232.1094,0
22122,18028.71289,141186.0625,0
22123,18883.7168,154575.7969,0
22124,20060.35938,166535.5156,0
22125,20338.04297,182606.4219,0
22126,21440.06836,195808.8594,0
22127,21771.25,212983.8125,0
22128,22516.95508,229571.5,0
22129,23589.50977,244707.1875,0
22130,23759.87695,263915.6563,0
22131,24754.05273,280231.3438,0
22132,25380.02539,298205.625,0
22133,25586.08203,318801.1875,0
22134,26599.52734,336500.25,0
22135,26678.11523,358232.875,0
22136,27557.41406,377056.4063,0
22137,27607.42188,399767.2188,0
22138,28454.00586,419551.125,0
22139,28784.66602,441076.625,0
22140,29100.42383,462902.4063,0
22141,29399.83398,485021.25,0
22142,29801.80664,507305.25,0
22143,29864.92578,532061.5,0
22144,30590.02734,553836.1875,0
22145,30843.30078,579467.3125,0
22146,31373.91211,602089.25,0
22147,31960.73242,624086.9375,0
22148,32674.44336,651696.125,0
22149,33699.30078,672702.75,0
22150,34494.11719,700723.9375,0
22151,35431.58984,722148.8125,0
22152,36219.35547,750443,0
22153,37159.58203,772145.125,0
22154,37589.73047,798701.8125,0
22155,37600.59766,823991.9375,0
22156,37653.23828,849437.9375,0
22157,37656.0625,874912.125,0
22158,38076.20703,898463.3125,0
22159,38528.87109,925382.625,0
22160,38544.79688,950981.4375,0
22161,38628.30859,976680.6875,0
22162,38658.89453,1002344.125,0
22163,38763.10156,1028082.25,0
22164,39086.39453,1051892.875,0
22165,39651.69531,1079008.75,0
22166,39799.73828,1104743.375,0
25256,2052.212402,4821.527344,0
25257,2564.935303,9643.349609,0
25258,3723.638184,10801.43066,0
25259,4270.779785,11216.07031,0
25260,4723.880859,11821.46973,0
25261,5098.111816,12662.53613,0
25262,5187.157715,15625.52734,0
25263,6028.95752,15708.81738,0
25264,6325.899414,17609.63672,0
25265,6580.556152,19946.10938,0
25266,7221.788574,20614.63672,0
25267,7241.865234,24826.79102,0
25268,7245.417481,30356.19727,0
25269,8407.073242,31077.0957,0
25270,8606.981445,37083.85938,0
25271,8856.750977,42321.17578,0
25272,9262.741211,48039.80859,0
25273,9658.291016,54433.74609,0
25274,10469.44434,59258.78906,0
25275,10492.59375,67994.94531,0
25276,10629.8125,78273.64063,0
25277,12225.23047,83548.21875,0
25278,12521.26855,94225.875,0
25279,13306.85254,104253.1563,0
25280,14065.47656,115083.3984,0
25281,15186.8623,124446.5078,0
25282,15579.83496,137745.6719,0
25283,16390.87109,150487.5938,0
25284,17520.78516,161809.7188,0
25285,17754.25,177237.7656,0
25286,18803.00391,189820.3438,0
25287,19078.73242,206378.3125,0
25288,19766.71094,222368.6563,0
25289,20781.15039,236919.4219,0
25290,21319.91602,253252.0625,0
25291,21466.47461,272219.4375,0
25292,22566.96484,288178.25,0
25293,22759.45703,308189,0
25294,23759.76953,325323.375,0
25295,23835.47852,346494.7813,0
25296,24707.85156,364783.25,0
25297,24752.57813,386974.125,0
25298,25585.11719,406270.5,0
25299,25899.1582,427320.7813,0
25300,26042.41211,450915.9375,0
25301,27114.30078,469378.4688,0
25302,27706.45898,494908.1875,0
25303,28387.25781,516080.9063,0
25304,28537.81836,538967.125,0
25305,28659.08789,562128.8125,0
25306,29016.94531,587726,0
25307,29557.58203,610216.8125,0
25308,29571.23047,634365.0625,0
25309,29586.63086,658734,0
25310,29634.19141,683314.8125,0
25311,29717.57227,708098.875,0
25312,29719.37695,732956.1875,0
25313,29768.00195,758002.1875,0
25314,30140.20313,781132.25,0
25315,30625.89844,807671.1875,0
25316,30670.74805,832956.9375,0
25317,30674.8457,858294.75,0
25318,31096.04102,881720.3125,0
25319,32026.08789,910573.3125,0
25320,32333.5918,934896.125,0
