% Data output, Exercise:peg_board_level_1, Input:hydra
% Date:06/15/2015, Time:16:12:13
% time, tool1_x, tool1_y, tool1_z, tool2_x, tool2_y, tool2_z, tool1_q0, tool1_q1, tool1_q2, tool1_q3, tool2_q0, tool2_q1, tool2_q2, tool2_q3, master1_x, master1_y, master1_z, master2_x, master2_y, master2_z, master1_q0, master1_q1, master1_q2, master1_q3, master2_q0, master2_q1, master2_q2, master2_q3, master1_open, master2_open, foot_pedal, is_touch, tool1_jaw_interaction, tool1_aux_interaction, tool1_normal_force, tool1_shear_force, tool2_jaw_interaction, tool2_aux_interaction, tool2_normal_force, tool2_shear_force, tool3_interact
20.132999,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967686,-0.189422,-0.000000,-0.114556,0.975191,10.01033,-0.82898,-6.32145,-5.41077,3.69691,0.46344,-0.148800,0.599092,-0.126789,0.776448,0.027726,-0.105520,-0.020503,0.993819,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.150000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,0.000000,-0.114556,0.975191,10.00732,-0.82686,-6.31988,-5.41022,3.69654,0.46411,-0.148835,0.599070,-0.126622,0.776485,0.027758,-0.105529,-0.020541,0.993816,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.167000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,0.000000,-0.114556,0.975191,10.00729,-0.82648,-6.31848,-5.41187,3.69613,0.46456,-0.148780,0.599078,-0.126578,0.776497,0.027791,-0.105549,-0.020472,0.993815,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.183001,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,0.000000,-0.114556,0.975191,10.00515,-0.82472,-6.31641,-5.41298,3.69548,0.46547,-0.148758,0.599085,-0.126425,0.776521,0.027844,-0.105547,-0.020421,0.993815,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.200001,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967686,-0.189422,0.000000,-0.114556,0.975191,10.00876,-0.82745,-6.31903,-5.41295,3.69606,0.46453,-0.148746,0.599106,-0.126647,0.776471,0.027794,-0.105520,-0.020400,0.993819,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.216999,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967686,-0.189422,0.000000,-0.114556,0.975191,10.00910,-0.82782,-6.31970,-5.41216,3.69606,0.46463,-0.148782,0.599068,-0.126693,0.776486,0.027796,-0.105540,-0.020452,0.993816,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.233000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967686,-0.189422,0.000000,-0.114556,0.975191,10.00679,-0.82602,-6.31782,-5.41207,3.69653,0.46387,-0.148770,0.599077,-0.126537,0.776507,0.027757,-0.105537,-0.020451,0.993818,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.250000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,0.000000,-0.114556,0.975191,10.00756,-0.82677,-6.31902,-5.41161,3.69706,0.46309,-0.148829,0.599011,-0.126627,0.776532,0.027714,-0.105538,-0.020470,0.993818,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.267000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,0.000000,-0.114556,0.975191,10.00572,-0.82527,-6.31726,-5.41157,3.69654,0.46393,-0.148819,0.599000,-0.126501,0.776562,0.027758,-0.105564,-0.020492,0.993814,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.283001,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,0.000000,-0.114556,0.975191,10.00690,-0.82657,-6.31969,-5.41067,3.69739,0.46268,-0.148890,0.598975,-0.126630,0.776547,0.027687,-0.105522,-0.020506,0.993820,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.299999,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,0.000000,-0.114556,0.975191,10.00832,-0.82790,-6.32169,-5.41030,3.69746,0.46260,-0.148949,0.598930,-0.126762,0.776549,0.027682,-0.105555,-0.020542,0.993816,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.316999,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967686,-0.189422,0.000000,-0.114556,0.975191,10.00835,-0.82761,-6.32053,-5.41120,3.69672,0.46368,-0.148870,0.598998,-0.126708,0.776520,0.027743,-0.105574,-0.020515,0.993813,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.333000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967686,-0.189422,0.000000,-0.114556,0.975191,10.00788,-0.82710,-6.31958,-5.41100,3.69648,0.46410,-0.148832,0.599026,-0.126651,0.776515,0.027763,-0.105559,-0.020519,0.993814,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.350000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967686,-0.189422,-0.000000,-0.114556,0.975191,10.00922,-0.82822,-6.32095,-5.41032,3.69695,0.46344,-0.148846,0.599027,-0.126748,0.776496,0.027725,-0.105552,-0.020545,0.993815,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.367001,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.01170,-0.82977,-6.32147,-5.41135,3.69649,0.46404,-0.148773,0.599074,-0.126853,0.776457,0.027762,-0.105564,-0.020504,0.993813,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.382999,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00935,-0.82770,-6.31868,-5.41176,3.69611,0.46460,-0.148722,0.599098,-0.126665,0.776479,0.027793,-0.105543,-0.020474,0.993815,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.400000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00803,-0.82698,-6.31881,-5.41188,3.69653,0.46391,-0.148778,0.599067,-0.126622,0.776499,0.027757,-0.105529,-0.020456,0.993818,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.417000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.02013,-0.82192,-6.31734,-5.41160,3.69682,0.46348,-0.149031,0.598905,-0.126282,0.776631,0.027736,-0.105586,-0.020501,0.993812,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.433001,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,0.000000,-0.114556,0.975191,10.03004,-0.82468,-6.31894,-5.41168,3.69693,0.46329,-0.148937,0.598985,-0.126477,0.776555,0.027726,-0.105572,-0.020487,0.993814,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.450001,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967686,-0.189422,0.000000,-0.114556,0.975191,10.04409,-0.82098,-6.31732,-5.41182,3.69715,0.46291,-0.149093,0.598871,-0.126222,0.776655,0.027709,-0.105616,-0.020504,0.993809,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
