% Data output, Exercise:myomectomy_closure_level_2, Input:mantis
% Date:06/16/2015, Time:19:41:34
% time, tool1_x, tool1_y, tool1_z, tool2_x, tool2_y, tool2_z, tool1_q0, tool1_q1, tool1_q2, tool1_q3, tool2_q0, tool2_q1, tool2_q2, tool2_q3, master1_x, master1_y, master1_z, master2_x, master2_y, master2_z, master1_q0, master1_q1, master1_q2, master1_q3, master2_q0, master2_q1, master2_q2, master2_q3, master1_open, master2_open, foot_pedal, is_touch, tool1_jaw_interaction, tool1_aux_interaction, tool1_normal_force, tool1_shear_force, tool2_jaw_interaction, tool2_aux_interaction, tool2_normal_force, tool2_shear_force, tool3_interact, tool3_normal_force, tool3_shear_force
27.294001,1.01875,13.88483,2.66598,-2.06781,13.46072,3.40455,0.021080,0.178960,0.077110,0.980603,0.123292,0.020041,-0.357970,0.925340,8.37590,-0.15917,-5.01027,-7.32447,0.08730,-4.04727,-0.004297,0.195182,0.426803,0.883020,0.083231,0.030737,-0.529510,0.843651,0.6000,0.6000,0,1,0,17,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,0.0000
27.349001,1.00207,13.90869,2.67349,-2.02306,13.45735,3.43290,0.045804,0.157568,0.087659,0.982543,0.142695,0.043459,-0.376221,0.914444,8.37088,-0.10939,-4.98789,-7.28061,0.07867,-3.97862,0.009201,0.167333,0.422447,0.890760,0.091186,0.057948,-0.521835,0.846177,0.6000,0.6000,0,1,0,17,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,0.0000
27.398001,0.99899,13.92538,2.67158,-2.00291,13.45386,3.46135,0.075026,0.120041,0.109127,0.983897,0.162387,0.076240,-0.399521,0.899000,8.42183,-0.08243,-5.00638,-7.29903,0.07921,-3.89866,0.024652,0.123030,0.414692,0.901269,0.101536,0.092270,-0.511254,0.848408,0.6000,0.6000,0,1,0,17,13.1449,13.1449,0,0,0.0000,0.0000,0,0.0000,0.0000
27.445999,1.01014,13.93917,2.65947,-2.00012,13.45503,3.48645,0.104068,0.072175,0.138828,0.982185,0.180343,0.113459,-0.424284,0.880106,8.52908,-0.05937,-5.04018,-7.35467,0.10124,-3.83373,0.040415,0.068011,0.402584,0.911958,0.112615,0.127864,-0.501536,0.848192,0.6000,0.6000,0,1,0,17,14.1116,14.1116,0,0,0.0000,0.0000,0,0.0000,0.0000
27.500000,1.03934,13.95403,2.64439,-2.01126,13.46161,3.50891,0.125344,0.022148,0.171217,0.976976,0.190648,0.143911,-0.442417,0.864413,8.70363,-0.02443,-5.05036,-7.42356,0.12470,-3.76537,0.052468,0.013121,0.390155,0.919159,0.118852,0.154253,-0.494222,0.847245,0.6000,0.6000,0,1,0,17,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,0.0000
27.549000,1.08118,13.96384,2.64237,-2.03429,13.46705,3.52494,0.135566,-0.024009,0.200803,0.969909,0.196196,0.168000,-0.455194,0.852104,8.90316,-0.00507,-4.99408,-7.51384,0.11764,-3.73270,0.059065,-0.034039,0.378752,0.922984,0.123119,0.174879,-0.486619,0.847031,0.6000,0.6000,0,1,0,17,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,0.0000
27.596001,1.13164,13.97031,2.65486,-2.06940,13.47463,3.52620,0.137915,-0.063619,0.224538,0.962556,0.201412,0.187894,-0.465669,0.841000,9.10934,0.02237,-4.91732,-7.64968,0.12993,-3.77658,0.063494,-0.072273,0.368133,0.924783,0.127533,0.192659,-0.478321,0.847247,0.6000,0.6000,0,1,0,17,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,0.0000
27.655001,1.18309,13.97760,2.67556,-2.11746,13.49190,3.50967,0.135559,-0.092508,0.240093,0.956777,0.205283,0.203337,-0.473427,0.832093,9.30301,0.06032,-4.84933,-7.82879,0.18423,-3.89441,0.066425,-0.099794,0.359562,0.925389,0.128375,0.207715,-0.471990,0.847113,0.6000,0.6000,0,1,0,17,15.6074,15.6074,0,0,0.0000,0.0000,0,0.0000,0.0000
27.702999,1.23456,13.98686,2.69603,-2.17300,13.51400,3.48207,0.132315,-0.110541,0.248545,0.953152,0.204250,0.213990,-0.476742,0.827772,9.49314,0.11233,-4.79822,-7.99484,0.22178,-4.00066,0.068591,-0.117044,0.353115,0.925692,0.125758,0.217374,-0.467137,0.847771,0.6000,0.6000,0,1,0,17,80.7348,80.7348,0,0,0.0000,0.0000,0,0.0000,0.0000
27.750000,1.28172,13.99383,2.71347,-2.22855,13.53320,3.45205,0.128834,-0.120664,0.252608,0.951331,0.197050,0.216549,-0.473805,0.830534,9.65375,0.15245,-4.76042,-8.12568,0.22266,-4.07834,0.069479,-0.127414,0.348643,0.925952,0.118017,0.218317,-0.465650,0.849458,0.6000,0.6000,0,1,0,17,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,0.0000
