%frameid,time(us),x(mm),y(mm),z(mm) 
3496983,1911608104,17.8279,-155.552,352.642
3496984,1911617890,17.8226,-155.036,350.677
3496985,1911627766,17.5247,-153.134,346.575
3496986,1911637571,16.9541,-149.169,341.522
3496987,1911647402,17.1098,-144.681,335.428
3496988,1911657303,16.5824,-138.507,327.735
3496989,1911667043,16.6213,-131.855,319.794
3496990,1911676900,16.555,-123.815,311.666
3496991,1911686794,15.6648,-114.046,302.936
3496992,1911696596,15.0142,-104.052,292.744
3496993,1911706450,14.3118,-92.4707,281.735
3496994,1911716211,12.4845,-79.6871,270.796
3496995,1911726105,12.1793,-66.8818,257.099
3496996,1911735902,11.4282,-53.3885,242.496
3496997,1911745744,10.5958,-39.3628,226.898
3496998,1911755582,9.85034,-25.8431,210.799
3496999,1911765446,9.22771,-13.4375,194.289
3497000,1911775194,8.86636,-0.862768,178.206
3497001,1911785096,9.0704,9.72139,161.485
3497002,1911794956,10.0326,17.7922,146.208
3497003,1911804780,10.3009,24.3024,131.947
3497004,1911814642,10.6301,29.031,120.211
3497005,1911824462,10.1849,32.5279,110.806
3497006,1911834260,9.29523,34.4506,104.603
3497007,1911844121,7.57019,37.0298,100.696
3497008,1911853938,5.29648,39.7434,99.9234
3497009,1911863781,3.15444,40.9819,101.768
3497010,1911873618,0.535675,41.6809,106.163
3497011,1911883430,-2.59245,42.381,112.175
3497012,1911893364,-5.59069,42.4295,120.128
3497013,1911903119,-8.64191,42.2123,128.888
3497014,1911912966,-11.4273,41.6868,139.129
3497015,1911922876,-14.5124,40.806,149.658
3497016,1911932697,-17.2318,39.4199,160.272
3497017,1911942416,-19.701,37.699,171.036
3497018,1911952305,-21.8436,35.4743,181.97
3497019,1911962157,-23.9845,33.0087,192.288
3497020,1911971983,-25.8173,30.406,202.101
3497021,1911981843,-27.6423,27.8065,211.414
3497022,1911991709,-29.0156,24.6811,219.455
3497023,1912001514,-30.2372,21.6362,226.694
3497024,1912011372,-31.3364,18.626,233.667
3497025,1912021149,-32.1384,15.6876,239.436
3497026,1912031061,-32.9919,12.7595,244.141
3497027,1912040810,-33.7651,10.1911,247.993
3497028,1912050685,-34.3968,8.49987,250.253
3497029,1912060549,-34.5911,5.9864,251.34
3497030,1912070305,-34.7323,4.31609,251.406
3497031,1912080188,-34.7349,2.77416,250.62
3497032,1912089980,-34.7004,1.09482,248.603
3497033,1912099919,-34.5204,-0.0617158,245.323
3497034,1912129403,-32.6306,0.510622,222.364
3497035,1912139237,-31.588,0.184796,215.349
3497036,1912149070,-30.2885,-0.0727881,206.372
3497037,1912158816,-28.9042,0.0619785,196.383
3497038,1912168748,-27.1602,0.00815978,184.591
3497039,1912178563,-24.9788,-0.315317,172.293
3497040,1912188442,-22.7938,-0.92361,159.771
3497041,1912198208,-20.1889,-2.16809,147.323
3497042,1912208056,-17.4496,-4.49189,135.404
3497043,1912217917,-14.8444,-7.25526,125.062
3497044,1912227740,-12.588,-10.4098,116.641
3497045,1912237595,-10.597,-14.2923,110.25
3497046,1912247394,-8.62278,-18.4044,106.467
3497047,1912257315,-7.10132,-22.8385,105.478
3497048,1912267116,-6.06635,-27.6369,107.745
3497049,1912276893,-5.54239,-32.55,112.472
3497050,1912286811,-5.44079,-37.7122,120.246
3497051,1912296583,-5.57647,-42.4542,129.875
