%frameid,time(us),x(mm),y(mm),z(mm) 
933228,2122631052,-21.0946,65.6877,251.181
933229,2122640309,-20.5279,67.4756,250.73
933230,2122649506,-19.9975,69.4378,250.417
933231,2122658685,-19.5161,70.5324,250.247
933232,2122667910,-19.1862,71.1577,250.153
933233,2122677193,-18.9444,71.5816,250.146
933234,2122686420,-18.8518,71.6469,250.187
933235,2122695580,-18.7546,71.6324,250.284
933236,2122704841,-18.533,70.9976,250.559
933237,2122714047,-18.4217,70.051,250.886
933238,2122723331,-18.5256,67.3433,251.495
933239,2122732567,-18.8109,63.8784,252.474
933240,2122741737,-19.2091,59.8395,253.098
933241,2122751044,-19.7285,55.5891,253.812
933242,2122760201,-20.2808,50.9567,254.485
933243,2122769481,-20.8027,45.9673,255.204
933244,2122778656,-21.4191,40.7858,255.951
933245,2122787953,-22.0075,35.34,256.602
933246,2122797187,-22.7233,29.4356,257.533
933247,2122806389,-23.2352,23.2238,258.35
933248,2122815618,-23.8193,16.7339,259.142
933249,2122824831,-24.2645,9.76264,259.93
933250,2122834036,-24.6067,2.72451,260.705
933251,2122843323,-24.8268,-4.82874,261.231
933252,2122852579,-24.9739,-12.4523,261.907
933253,2122861750,-25.0656,-20.3118,262.534
933254,2122889410,-26.6753,-41.7958,265.433
933255,2122898626,-26.3217,-48.9485,265.647
933256,2122907884,-25.705,-57.0483,265.699
933257,2122917186,-25.0136,-65.8305,265.403
933258,2122926373,-24.255,-74.0282,264.885
933259,2122935563,-23.6052,-81.4821,264.503
933260,2122944851,-22.8916,-88.3852,264.104
933261,2122954081,-22.0468,-95.4024,263.676
933262,2122963310,-21.2439,-102.073,263.249
933263,2122972504,-20.587,-108.518,263.161
933264,2122981727,-19.8512,-114.989,262.682
933265,2122991016,-19.032,-120.873,262.794
933266,2123000254,-18.1352,-127.03,262.454
933267,2123009424,-17.5494,-133.176,261.996
933268,2123018671,-16.9983,-138.867,261.599
933269,2123027868,-16.3337,-144.474,261.779
933270,2123037123,-15.4334,-149.493,260.625
933271,2123046369,-15.1691,-154.473,259.695
933272,2123055602,-14.7208,-158.233,257.703
933273,2123064813,-14.4205,-160.195,256.47
933274,2123074046,-14.5684,-164.894,256.982
933275,2123083258,-14.333,-169.881,258.333
933276,2123092535,-14.6214,-174.205,260.008
933277,2123101764,-15.1027,-179.642,260.301
933278,2123111017,-15.0672,-183.251,260.167
933279,2123120178,-15.13,-187.54,259.149
933280,2123129455,-15.6068,-189.835,257.966
933281,2123138657,-15.8152,-192.221,258.801
933282,2123147907,-16.2646,-194.081,259.748
933283,2123157109,-16.4611,-195.421,260.688
933284,2123166382,-16.7478,-196.364,261.135
933285,2123175600,-17.1642,-197.578,261.549
933286,2123184840,-17.4657,-198.19,261.551
933287,2123193999,-17.6462,-198.492,261.358
933288,2123203290,-18.2529,-198.742,262.244
933289,2123212464,-18.7043,-198.677,262.845
933290,2123221708,-19.0005,-198.34,262.782
933291,2123230965,-19.3185,-195.645,262.597
933292,2123240134,-19.6852,-191.705,263.335
933293,2123249455,-19.8873,-188.63,262.952
933294,2123258649,-20.4163,-185.016,263.688
933295,2123267910,-20.6253,-180.932,264.571
933296,2123277096,-20.7125,-175.165,264.131
