%frameid,time(us),x(mm),y(mm),z(mm) 
926538,1998601430,-32.2846,81.3148,300.312
926539,1998610856,-27.3062,81.3149,300.778
926540,1998620322,-22.0836,81.1831,301.287
926541,1998629684,-16.68,80.4902,301.928
926542,1998639173,-11.5129,80.0604,302.389
926543,1998648593,-6.28837,79.5839,302.858
926544,1998658064,-1.13322,78.9382,303.364
926545,1998667472,3.97096,78.1252,303.722
926546,1998676909,9.18531,76.3082,304.353
926547,1998686316,14.2678,75.0744,304.978
926548,1998695800,19.3514,73.1145,305.346
926549,1998705197,24.6516,71.25,305.981
926550,1998714582,29.724,69.0387,306.413
926551,1998724014,34.9236,66.8239,307.012
926552,1998733481,39.9186,64.5745,307.802
926553,1998742932,44.7579,62.5624,308.492
926554,1998752410,49.6288,60.1371,309.093
926555,1998761751,54.315,57.301,309.636
926556,1998771247,58.841,54.7374,310.258
926557,1998780657,63.5364,51.7576,310.434
926558,1998790107,67.9886,48.2481,310.543
926559,1998799515,72.4817,45.1947,311.017
926560,1998808938,76.7392,41.5798,311.01
926561,1998818414,80.9508,38.3975,311.239
926562,1998827785,84.8572,34.8154,311.524
926563,1998837278,88.8955,31.208,311.9
926564,1998846625,92.6218,27.4755,311.714
926565,1998856152,96.1094,23.3715,311.204
926566,1998865544,99.3302,20.2279,310.968
926567,1998874993,102.618,16.1321,310.999
926568,1998884361,105.574,11.8274,310.555
926569,1998893862,108.763,7.4751,310.595
926570,1998903260,111.335,3.07847,310.53
926571,1998912674,113.851,-1.37868,310.4
926572,1998922156,116.233,-5.74844,309.935
926573,1998931591,118.213,-10.2202,309.736
926574,1998941040,120.024,-14.619,309.251
926575,1998950413,121.535,-18.8804,308.155
926576,1998959873,122.975,-23.5369,307.339
926577,1998969297,124.074,-27.5081,306.562
926578,1998978731,124.936,-31.8093,305.574
926579,1998988160,125.452,-36.4835,304.5
926580,1998997652,126,-41.4862,303.533
926581,1999007072,126.083,-46.15,302.263
926582,1999016468,126.326,-50.6414,301.485
926583,1999025872,126.083,-55.0708,300.127
926584,1999035394,125.973,-59.9145,299.623
926585,1999044723,125.284,-64.9672,298.338
926586,1999054289,124.455,-69.9192,297.454
926587,1999063637,123.718,-74.7831,296.626
926588,1999073090,122.302,-79.409,295.416
926589,1999082554,121.146,-84.2631,294.508
926590,1999091965,119.549,-89.1025,293.859
926591,1999101383,117.703,-93.8127,292.831
926592,1999110874,115.95,-98.5411,291.889
926593,1999120263,113.768,-103.643,290.724
926594,1999129625,111.476,-108.109,289.868
926595,1999139121,109.001,-111.949,288.838
926596,1999148592,105.998,-115.878,287.66
926597,1999158000,103.068,-120.217,286.565
926598,1999167451,100.129,-124.564,285.475
926599,1999176889,96.6782,-128.625,284.1
926600,1999186302,93.5889,-132.956,283.428
926601,1999195771,89.6765,-136.874,282.441
926602,1999205228,85.8961,-140.802,281.28
926603,1999214625,81.8223,-144.502,280.043
926604,1999224055,77.6956,-148.089,279.174
926605,1999233409,73.4468,-151.452,278.255
926606,1999242864,69.0161,-154.798,277.667
926607,1999252340,64.5546,-158.05,277.108
926608,1999261777,59.9378,-161.274,276.274
926609,1999271203,55.3006,-164.845,274.962
926610,1999280652,50.6002,-167.705,274.104
926611,1999290083,45.6242,-170.042,273.318
926612,1999299518,40.597,-172.324,272.504
926613,1999308943,35.6945,-173.995,271.739
926614,1999318332,30.6906,-175.867,271.091
926615,1999327797,25.6683,-177.593,270.455
926616,1999337275,20.5461,-179.566,269.935
926617,1999346611,15.4647,-181.118,269.509
926618,1999356123,10.1971,-182.288,269.195
926619,1999365532,5.09607,-183.302,268.965
926620,1999374955,-0.0680026,-184.098,268.823
926621,1999384369,-5.19274,-184.996,268.421
926622,1999393842,-9.8118,-185.562,268.323
926623,1999403271,-15.2183,-185.63,268.669
926624,1999412624,-20.375,-186.349,269.313
926625,1999422094,-25.4535,-186.914,270.109
926626,1999431510,-30.6735,-186.346,270.323
926627,1999441020,-35.0254,-185.174,270.08
926628,1999450450,-39.6469,-185.098,270.543
926629,1999459822,-44.2398,-183.693,271.748
926630,1999469310,-48.2716,-182.451,272.001
926631,1999478746,-52.7259,-181.344,273.085
926632,1999488166,-56.9913,-179.121,273.223
926633,1999497582,-60.9107,-176.419,273.153
926634,1999507069,-65.1975,-173.554,272.965
926635,1999516487,-68.6293,-169.506,271.695
926636,1999525924,-72.3156,-166.2,271.428
926637,1999535335,-76.1955,-162.387,271.917
926638,1999544718,-79.5441,-160.191,272.509
926639,1999554206,-82.9331,-156.21,271.395
926640,1999563651,-86.2705,-151.56,269.805
926641,1999573093,-89.9794,-146.132,269.041
926642,1999582540,-92.958,-140.696,268.019
926643,1999591958,-96.5472,-136.453,269.102
926644,1999601379,-100.334,-132.892,270.757
926645,1999610783,-103.339,-128.709,271.422
926646,1999620213,-106.027,-124.539,270.846
926647,1999629602,-109.206,-119.557,270.697
926648,1999639041,-111.556,-114.094,269.947
926649,1999648489,-113.697,-108.934,268.921
926650,1999657920,-115.183,-103.564,267.704
926651,1999667412,-117.449,-98.7707,267.977
926652,1999695703,-124.782,-81.0814,268.644
926653,1999705089,-125.943,-76.9229,268.749
926654,1999714560,-127.519,-72.1031,268.573
926655,1999723990,-128.862,-66.488,268.228
926656,1999733369,-130.068,-60.4865,267.581
926657,1999742932,-130.504,-55.4767,267.213
926658,1999752287,-131.049,-50.0636,266.903
926659,1999761739,-133.307,-43.3116,267.79
926660,1999771137,-131.816,-37.3904,265.869
926661,1999780626,-131.332,-31.8037,265.724
926662,1999790071,-131.142,-26.7909,266.379
926663,1999799620,-130.33,-21.2823,266.197
926664,1999808899,-129.51,-16.6644,266.892
926665,1999818285,-128.532,-11.7462,267.674
926666,1999827688,-127.225,-6.72172,268.153
926667,1999837172,-125.568,-1.98979,268.719
926668,1999846592,-123.811,3.12286,269.382
926669,1999856067,-122.013,8.50862,270.197
926670,1999865482,-120.046,13.7652,270.869
926671,1999874938,-117.635,18.5086,271.52
926672,1999884397,-114.761,22.0621,272.413
926673,1999893840,-112.114,27.0336,273.655
926674,1999903185,-109.22,31.8288,274.235
926675,1999912674,-106.151,36.697,275.47
926676,1999922102,-102.897,40.8576,276.442
926677,1999931548,-99.1452,44.5848,277.509
926678,1999940983,-95.0971,47.7212,278.4
926679,1999950400,-91.3162,51.0572,279.389
926680,1999959823,-87.591,54.7235,280.579
926681,1999969263,-83.716,57.9239,281.657
926682,1999978691,-79.61,60.4691,282.624
926683,1999988150,-75.4048,62.9519,283.593
926684,1999997574,-71.0056,65.0622,284.478
926685,2000006989,-66.7235,67.4912,285.412
926686,2000016398,-62.1695,69.713,286.262
926687,2000025914,-57.6331,71.8361,287.384
926688,2000035266,-52.9058,73.4704,288.263
926689,2000045183,-47.9213,74.8734,289.088
926690,2000054052,-43.2562,75.7516,289.691
926691,2000063245,-38.3458,76.7278,290.695
926692,2000072545,-33.274,77.669,291.625
926693,2000081716,-28.3609,78.3179,292.309
926694,2000091046,-23.5743,78.9872,293.14
926695,2000100249,-18.6618,79.4001,293.68
926696,2000109508,-13.7614,79.6395,294.472
926697,2000118688,-8.83826,79.7349,295.139
926698,2000127839,-3.96936,79.6782,295.705
926699,2000137149,0.892184,79.3415,296.138
926700,2000146317,5.84244,78.9343,296.454
926701,2000155642,10.8472,78.3561,296.773
926702,2000164862,15.6524,77.8447,297.142
926703,2000174030,20.3399,77.2521,297.455
926704,2000183293,25.4207,75.8009,297.926
926705,2000192531,30.3908,74.5801,298.16
926706,2000201771,35.7305,72.3941,298.744
926707,2000211029,40.8458,70.7017,298.971
926708,2000220250,45.655,69.1294,299.3
926709,2000229481,50.5081,66.7325,299.361
926710,2000238692,55.3866,64.0907,299.282
926711,2000247910,60.2016,62.0539,299.332
926712,2000257131,64.8651,59.8283,299.51
926713,2000266365,69.4387,57.2423,299.579
926714,2000275598,73.7982,54.8073,299.593
926715,2000284824,78.1539,52.6579,299.492
926716,2000293985,82.412,49.1093,299.319
926717,2000303305,87.0171,45.8709,299.127
