%frameid,time(us),x(mm),y(mm),z(mm) 
3500783,1957799441,-11.2792,-14.8108,163.514
3500784,1957809085,-8.47891,-14.8182,158.609
3500785,1957818630,-5.37054,-15.245,153.766
3500786,1957828329,-2.27223,-15.5307,149.126
3500787,1957837953,0.949576,-15.9129,144.549
3500788,1957847591,4.2048,-16.6172,140.277
3500789,1957857137,6.89186,-17.5368,136.834
3500790,1957866841,9.73751,-19.1189,134.071
3500791,1957876500,12.52,-21.1037,132.447
3500792,1957886054,15.1532,-23.3396,132.247
3500793,1957895710,17.4338,-25.7589,133.235
3500794,1957905354,19.6864,-28.8601,135.608
3500795,1957914988,21.9968,-32.505,138.929
3500796,1957924553,23.9356,-36.2928,142.943
3500797,1957934202,25.7604,-40.1884,147.935
3500798,1957943815,27.543,-44.2247,153.819
3500799,1957953450,29.139,-48.6431,160.494
3500800,1957963072,30.8509,-53.1612,167.945
3500801,1957972696,32.4053,-58.018,175.878
3500802,1957982386,33.7742,-63.0904,184.158
3500803,1957991997,35.0765,-68.5728,192.982
3500804,1958001581,35.96,-74.236,202.012
3500805,1958011219,37.3115,-80.0769,211.487
3500806,1958030554,39.2129,-91.7265,232.344
3500807,1958040081,41.1327,-97.5946,239.417
3500808,1958049737,42.4513,-104.096,247.719
3500809,1958059409,43.5953,-110.527,255.357
3500810,1958069054,43.7043,-116.862,263.96
3500811,1958078658,45.3957,-123.279,271.784
3500812,1958088248,47.0158,-130.092,279.265
3500813,1958097953,49.0526,-136.575,286.301
3500814,1958107544,50.5557,-143.162,292.564
3500815,1958117165,52.5057,-149.428,298.494
3500816,1958126834,53.4912,-155.529,304.124
3500817,1958136423,54.649,-161.465,309.326
3500818,1958146026,55.5382,-166.985,314.121
3500819,1958155634,56.3441,-172.357,318.083
3500820,1958165302,56.3418,-176.793,321.646
3500821,1958174914,57.2536,-181.213,324.512
3500822,1958184593,58.0103,-185.262,326.684
3500823,1958194214,58.3353,-189.333,328.033
3500824,1958203863,58.9166,-192.975,328.701
3500825,1958213458,58.7228,-194.981,329.449
3500826,1958223023,58.6473,-196.874,329.804
3500827,1958232674,58.618,-198.118,329.199
3500828,1958242319,58.3485,-199.186,328.081
3500829,1958252001,57.3153,-199.881,325.472
3500830,1958261650,56.2285,-199.522,322.406
3500831,1958271241,55.36,-199.205,318.344
